Marque,Libellé modèle,Modèle,Groupe,Description Commerciale,Energie,Carrosserie,Cylindrée,Gamme,Puissance fiscale,Puissance maximale,Puissance nominale électrique,Poids à vide,Rapport poids-puissance,Type de boite,Nombre rapports,Autonomie elec Min,Autonomie elec Max,Autonomie elec urbain Min,Autonomie elec urbain Max,Essai CO2 type 1,Essai HC,Essai Nox,Essai HCNox,Essai particules,Masse OM Min,Masse OM Max,Bonus-Malus,Barème Bonus-Malus,Prix véhicule,Conso basse vitesse Avg,Conso moyenne vitesse Avg,Conso haute vitesse Avg,Conso T-haute vitesse Avg,Conso vitesse mixte Avg,Conso elec Avg,CO2 basse vitesse Avg,CO2 moyenne vitesse Avg,CO2 haute vitesse Avg,CO2 T-haute vitesse Avg,CO2 vitesse mixte Avg
B.M.W.,SERIE 4,440,AUTRES,M440d xDrive Cabriolet,GAZ+ELEC HNR,CABRIOLET,2993,MOYENNE SUPERIEURE,22,250.0,0.0,1980,0.13,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.114,-1.0,0.033,0.047,0.001,2055,2055,Malus,14485.0,78250,10.348500000000001,6.1370000000000005,5.303,5.7875,6.3165,-1.0,271.03999999999996,160.655,138.785,151.48000000000002,165.35
B.M.W.,SERIE X,X5,AUTRES,X5 xDrive30d,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,2993,LUXE,17,210.0,0.0,2190,0.1,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.141,-1.0,0.045,0.063,0.001,2265,2265,Malus,16612.0,79017,8.8525,6.77,6.1015,7.2095,6.997,-1.0,231.775,177.2,159.68,188.71,183.15
B.M.W.,SERIE X,X2,AUTRES,X2 sDrive18i,ESSENCE,TS TERRAINS/CHEMINS,1499,MOYENNE SUPERIEURE,7,100.0,-1.0,1430,0.07,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.312,0.031,0.016,-1.0,0.0,1505,1505,Malus,650.0,42517,8.927,6.59,5.7565,6.877000000000001,6.746499999999999,-1.0,203.09500000000003,149.79000000000002,130.78,156.335,153.35
FORD,KUGA,KUGA,FORD,KUGA 2.5 Duratec I-AWD Hybrid (190ch),ESS+ELEC HNR,TS TERRAINS/CHEMINS,2488,MOYENNE INFERIEURE,8,112.0,29.0,1626,0.07,VARIATION CONTINUE,0,-1.0,-1.0,-1.0,-1.0,0.205,0.011,0.01,-1.0,-1.0,1701,1800,Malus,11906.0,41512,8.6805,5.089499999999999,5.0024999999999995,6.062,5.8855,-1.0,199.13,116.61500000000001,114.61,138.96,134.9
MERCEDES,CLASSE E,E 200,AUTRES,E 220 d,GAZOLE,CABRIOLET,1950,LUXE,11,143.0,-1.0,1795,0.08,AUTOMATIQUE,9,-1.0,-1.0,-1.0,-1.0,0.022,-1.0,0.029,0.035,0.001,1870,1870,Malus,1774.0,70950,7.377,5.7684999999999995,4.708,5.2615,5.476,-1.0,193.32999999999998,151.155,123.365,137.875,143.5
B.M.W.,M4,M4,AUTRES,M4 Competition Coupé,ESSENCE,COUPE,2993,LUXE,41,375.0,-1.0,1725,0.22,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.206,0.013,0.017,-1.0,0.0,1800,1800,Malus,39964.0,104550,15.0515,9.838999999999999,8.303,8.942499999999999,9.7415,-1.0,342.395,223.725,188.755,203.305,221.5
MINI,MINI,COUNTRYMAN,B.M.W.,MINI One Countryman (F60),ESSENCE,TS TERRAINS/CHEMINS,1499,INFERIEURE,5,75.0,-1.0,1390,0.05,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.136,0.016,0.008,-1.0,0.0,1465,1465,Malus,360.0,32880,8.254000000000001,6.3385,5.655,6.6335,6.4875,-1.0,188.545,144.74,129.11,151.49,148.15
NISSAN,QASHQAI,QASHQAI,NISSAN,Mild Hybrid (158ch) Xtronic i-4x4 N-CONNECTA/TEKNA/TEKNA PLUS,ESS+ELEC HNR,TS TERRAINS/CHEMINS,1332,MOYENNE SUPERIEURE,8,116.0,0.0,1457,0.08,VARIATION CONTINUE,1,-1.0,-1.0,-1.0,-1.0,0.312,0.015,0.024,-1.0,0.0,1532,1532,Malus,11933.0,42920,9.0165,6.7555,6.0335,7.4135,7.067,-1.0,203.625,152.435,136.095,167.335,159.5
RENAULT,TRAFIC,TRAFIC,RENAULT,TRAFIC (149ch),GAZOLE,MINIBUS,1997,MOYENNE SUPERIEURE,8,110.0,-1.0,1962,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.04,-1.0,0.038,0.045,0.0,2037,2037,Malus,12381.0,41350,8.3875,7.011,6.2780000000000005,7.9065,7.2865,-1.0,220.19,184.03,164.785,207.55,191.26
PEUGEOT,2008,2008,AUTRES,2008 1.6 BlueHDi (130ch) S&S BVA6,GAZOLE,TS TERRAINS/CHEMINS,1499,INFERIEURE,7,96.0,-1.0,1270,0.08,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.05,-1.0,0.053,0.058,0.0,1345,1345,Malus,190.0,33910,5.6455,4.84,4.5280000000000005,5.617,5.127,-1.0,148.055,126.91499999999999,118.725,147.305,134.44
